filename	totalLen	onsetDet	onsetNoun	offsetNoun	waitForDetOffset	waitForNounOffset	waitForEnd
Nat_122_unrelated	5.114	3.501	3.641	4.095	0.14	0.454	1.019
Nat_123_related	5.726	3.301	3.488	4.129	0.187	0.641	1.597
Nat_123_unrelated	5.758	3.301	3.442	4.269	0.141	0.827	1.489
Nat_124_related	5.158	3.465	3.588	4.056	0.123	0.468	1.102
Nat_124_unrelated	5.129	3.465	3.628	4.007	0.163	0.379	1.122
Nat_125_related	5.236	3.981	4.161	4.458	0.18	0.297	0.778
Nat_125_unrelated	5.402	3.981	4.209	4.548	0.228	0.339	0.854
Nat_126_related	6.875	4.255	4.385	5.031	0.13	0.646	1.844
Nat_126_unrelated	6.488	4.255	4.382	4.823	0.127	0.441	1.665
Nat_129_related	7.027	4.963	5.116	5.513	0.153	0.397	1.514
Nat_129_unrelated	7.086	4.963	5.199	5.556	0.236	0.357	1.53
Nat_12_related	4.688	1.991	2.13	2.406	0.139	0.276	2.282
Nat_12_unrelated	4.743	1.991	2.161	2.461	0.17	0.3	2.282
Nat_130_related	6.679	4.497	4.662	5.236	0.165	0.574	1.443
Nat_130_unrelated	6.238	4.497	4.671	4.898	0.174	0.227	1.34
Nat_131_related	4.577	2.815	2.973	3.537	0.158	0.564	1.04
Nat_131_unrelated	4.378	2.815	2.962	3.331	0.147	0.369	1.047
Nat_132_related	5.496	2.46	2.593	3.131	0.133	0.538	2.365
Nat_132_unrelated	5.454	2.46	2.612	3.237	0.152	0.625	2.217
Nat_133_related	4.538	2.115	2.244	2.736	0.129	0.492	1.802
Nat_133_unrelated	4.431	2.115	2.293	2.653	0.178	0.36	1.778
Nat_134_related	4.16	2.585	2.755	3.347	0.17	0.592	0.813
Nat_134_unrelated	3.866	2.585	2.722	3.084	0.137	0.362	0.782
Nat_136_related	3.76	2.415	2.52	3.03	0.105	0.51	0.73
Nat_136_unrelated	4.01	2.415	2.577	3.209	0.162	0.632	0.801
Nat_137_related	4.923	3.884	3.992	4.265	0.108	0.273	0.658
Nat_137_unrelated	4.938	3.884	3.991	4.3	0.107	0.309	0.638
Nat_13_related	4.256	3.091	3.231	3.481	0.14	0.25	0.775
Nat_13_unrelated	4.633	3.091	3.287	3.741	0.196	0.454	0.892
Nat_140_related	5.48	3.663	3.743	4.311	0.08	0.568	1.169
Nat_140_unrelated	5.433	3.663	3.794	4.276	0.131	0.482	1.157
Nat_141_related	3.683	2.354	2.454	2.776	0.1	0.322	0.907
Nat_141_unrelated	3.599	2.354	2.482	2.74	0.128	0.258	0.859
Nat_142_related	7.016	3.907	4.06	4.432	0.153	0.372	2.584
Nat_142_unrelated	7.731	3.907	4.048	4.922	0.141	0.874	2.809
Nat_143_related	6.707	5.385	5.568	5.853	0.183	0.285	0.854
Nat_143_unrelated	6.737	5.385	5.538	5.996	0.153	0.458	0.741
Nat_144_related	5.376	4.333	4.419	4.769	0.086	0.35	0.607
Nat_144_unrelated	5.337	4.333	4.431	4.695	0.098	0.264	0.642
Nat_145_related	3.188	1.866	1.977	2.248	0.111	0.271	0.94
Nat_145_unrelated	3.117	1.866	1.982	2.154	0.116	0.172	0.963
Nat_146_related	3.182	2.233	2.299	2.547	0.066	0.248	0.635
Nat_146_unrelated	3.554	2.233	2.386	3.001	0.153	0.615	0.553
Nat_147_related	5.729	3.111	3.255	3.691	0.144	0.436	2.038
Nat_147_unrelated	5.744	3.111	3.282	3.741	0.171	0.459	2.003
Nat_148_related	4.054	3.339	3.487	3.678	0.148	0.191	0.376
Nat_148_unrelated	4.139	3.339	3.43	3.804	0.091	0.374	0.335
Nat_149_related	6.712	5.341	5.503	6.029	0.162	0.526	0.683
Nat_149_unrelated	6.583	5.341	5.428	5.837	0.087	0.409	0.746
Nat_150_related	4.792	2.394	2.557	3.126	0.163	0.569	1.666
Nat_150_unrelated	4.674	2.394	2.509	3.097	0.115	0.588	1.577
Nat_151_related	4.216	2.775	2.925	3.292	0.15	0.367	0.924
Nat_151_unrelated	4.222	2.775	2.837	3.292	0.062	0.455	0.93
Nat_152_related	2.872	1.635	1.803	2.309	0.168	0.506	0.563
Nat_152_unrelated	2.657	1.635	1.751	2.079	0.116	0.328	0.578
Nat_153_related	3.544	2.316	2.409	3.02	0.093	0.611	0.524
Nat_153_unrelated	3.627	2.316	2.55	3.06	0.234	0.51	0.567
Nat_154_related	4.543	3.451	3.573	3.972	0.122	0.399	0.571
Nat_154_unrelated	4.505	3.451	3.634	3.915	0.183	0.281	0.59
Nat_155_related	6.528	3.932	4.033	4.613	0.101	0.58	1.915
Nat_155_unrelated	6.385	3.932	4.055	4.52	0.123	0.465	1.865
Nat_156_related	4.092	3.189	3.268	3.536	0.079	0.268	0.556
Nat_156_unrelated	4.128	3.189	3.29	3.709	0.101	0.419	0.419
Nat_157_related	4.648	3.462	3.55	3.876	0.088	0.326	0.772
Nat_157_unrelated	4.918	3.462	3.632	4.131	0.17	0.499	0.787
Nat_158_related	3.257	1.831	1.927	2.355	0.096	0.428	0.902
Nat_158_unrelated	3.001	1.831	1.945	2.234	0.114	0.289	0.767
Nat_159_related	5.097	4.168	4.323	4.703	0.155	0.38	0.394
Nat_159_unrelated	4.891	4.168	4.329	4.52	0.161	0.191	0.371
Nat_160_related	4.403	3.488	3.611	3.888	0.123	0.277	0.515
Nat_160_unrelated	4.623	3.488	3.638	4.132	0.15	0.494	0.491
Nat_161_related	3.195	2.012	2.137	2.387	0.125	0.25	0.808
Nat_161_unrelated	3.36	2.012	2.144	2.6	0.132	0.456	0.76
Nat_16_related	4.168	2.217	2.37	2.73	0.153	0.36	1.438
Nat_16_unrelated	4.065	2.217	2.326	2.695	0.109	0.369	1.37
Nat_17_related	4.464	3.065	3.145	3.429	0.08	0.284	1.035
Nat_17_unrelated	4.626	3.065	3.217	3.657	0.152	0.44	0.969
Nat_20_related	2.976	2.021	2.118	2.424	0.097	0.306	0.552
Nat_20_unrelated	3.216	2.021	2.162	2.625	0.141	0.463	0.591
Nat_21_related	3.651	2.353	2.496	2.72	0.143	0.224	0.931
Nat_21_unrelated	3.753	2.353	2.445	2.817	0.092	0.372	0.936
Nat_22_related	3.306	2.142	2.315	2.486	0.173	0.171	0.82
Nat_22_unrelated	3.681	2.142	2.28	2.883	0.138	0.603	0.798
Nat_23_related	3.727	2.296	2.426	2.824	0.13	0.398	0.903
Nat_23_unrelated	3.656	2.296	2.427	2.867	0.131	0.44	0.789
Nat_24_related	4.136	2.557	2.687	3.143	0.13	0.456	0.993
Nat_24_unrelated	4.032	2.557	2.668	3.08	0.111	0.412	0.952
Nat_25_related	5.116	3.22	3.41	3.746	0.19	0.336	1.37
Nat_25_unrelated	5.184	3.22	3.334	3.82	0.114	0.486	1.364
Nat_26_related	3.718	2.523	2.672	3.121	0.149	0.449	0.597
Nat_26_unrelated	3.567	2.523	2.684	2.974	0.161	0.29	0.593
Nat_27_related	4.408	2.638	2.746	3.314	0.108	0.568	1.094
Nat_27_unrelated	4.246	2.638	2.786	3.139	0.148	0.353	1.107
Nat_28_related	5.218	4.043	4.223	4.631	0.18	0.408	0.587
Nat_28_unrelated	5.243	4.043	4.214	4.563	0.171	0.349	0.68
Nat_29_related	3.044	1.994	2.125	2.375	0.131	0.25	0.669
Nat_29_unrelated	3.201	1.994	2.14	2.477	0.146	0.337	0.724
Nat_300_control	2.657	0.66	0.783	1.205	0.123	0.422	1.452
Nat_301_control	4.195	1.249	1.369	1.67	0.12	0.301	2.525
Nat_302_control	5.546	4.321	4.623	4.913	0.302	0.29	0.633
Nat_303_control	4.896	0.179	0.311	1.034	0.132	0.723	3.862
Nat_304_control	4.264	0.428	0.515	1.051	0.087	0.536	3.213
Nat_305_control	4.005	2.76	2.896	3.347	0.136	0.451	0.658
Nat_306_control	5.032	0.016	0.183	0.44	0.167	0.257	4.592
Nat_307_control	5.2	1.561	1.613	1.941	0.052	0.328	3.259
Nat_308_control	4.603	2.694	2.824	3.52	0.13	0.696	1.083
Nat_309_control	5.998	3.941	4.075	4.494	0.134	0.419	1.504
Nat_30_related	3.074	1.622	1.679	1.991	0.057	0.312	1.083
Nat_30_unrelated	3.206	1.622	1.801	2.113	0.179	0.312	1.093
Nat_310_control	5.408	4.402	4.654	5.395	0.252	0.741	0.013
Nat_311_control	6.002	3.47	3.589	3.946	0.119	0.357	2.056
Nat_312_control	5.376	2.182	2.31	2.688	0.128	0.378	2.688
Nat_313_control	6.168	2.55	2.655	3.097	0.105	0.442	3.071
Nat_314_control	7.402	6.658	6.924	7.395	0.266	0.471	0.007
Nat_315_control	6.144	1.344	1.479	2.069	0.135	0.59	4.075
Nat_316_control	4.12	3.541	3.686	4.114	0.145	0.428	0.006
Nat_317_control	5.224	0.01	0.071	0.614	0.061	0.543	4.61
Nat_318_control	4.896	4.173	4.326	4.884	0.153	0.558	0.012
Nat_319_control	4.486	1.188	1.291	1.984	0.103	0.693	2.502
Nat_31_related	3.284	2.281	2.397	2.882	0.116	0.485	0.402
Nat_31_unrelated	3.445	2.281	2.535	3.025	0.254	0.49	0.42
Nat_320_control	3.843	1.427	1.527	2.055	0.1	0.528	1.788
Nat_321_control	4.136	0.587	0.778	1.245	0.191	0.467	2.891
Nat_322_control	4.224	1.9	2.007	2.661	0.107	0.654	1.563
Nat_323_control	4.48	1.159	1.305	1.595	0.146	0.29	2.885
Nat_324_control	6.08	2.747	2.823	3.468	0.076	0.645	2.612
Nat_325_control	5.752	0.005	0.162	0.503	0.157	0.341	5.249
Nat_326_control	7.568	1.606	1.684	1.987	0.078	0.303	5.581
Nat_327_control	5.216	3	3.529	3.834	0.529	0.305	1.382
Nat_328_control	5.552	2.806	2.934	3.277	0.128	0.343	2.275
Nat_329_control	5.104	3.353	3.487	3.979	0.134	0.492	1.125
Nat_32_related	3.87	2.916	3.056	3.303	0.14	0.247	0.567
Nat_32_unrelated	3.923	2.916	3.025	3.325	0.109	0.3	0.598
Nat_330_control	6.419	2.163	2.289	2.595	0.126	0.306	3.824
Nat_331_control	4.976	3.884	4.148	4.529	0.264	0.381	0.447
Nat_332_control	5.984	1.064	1.213	1.822	0.149	0.609	4.162
Nat_333_control	4.08	2.1	2.185	2.734	0.085	0.549	1.346
Nat_334_control	5.808	3.465	3.925	4.313	0.46	0.388	1.495
Nat_335_control	7.416	6.297	6.773	7.405	0.476	0.632	0.011
Nat_336_control	6.32	3.326	3.823	4.235	0.497	0.412	2.085
Nat_337_control	7.104	4.323	4.478	4.807	0.155	0.329	2.297
Nat_338_control	4.288	0.246	0.377	0.74	0.131	0.363	3.548
Nat_339_control	4.576	1.743	1.994	2.342	0.251	0.348	2.234
Nat_33_related	6.47	3.857	3.96	4.416	0.103	0.456	2.054
Nat_33_unrelated	7.072	3.857	3.989	4.673	0.132	0.684	2.399
Nat_340_control	6.512	3.775	4.232	4.72	0.457	0.488	1.792
Nat_341_control	5.768	3.896	4.018	4.378	0.122	0.36	1.39
Nat_342_control	7.08	6.039	6.198	6.442	0.159	0.244	0.638
Nat_343_control	4.76	2.086	2.362	3.087	0.276	0.725	1.673
Nat_344_control	3.216	2.075	2.527	2.76	0.452	0.233	0.456
Nat_347_control	6.178	4.523	4.728	5.021	0.205	0.293	1.157
Nat_348_control	5.731	1.789	1.966	2.715	0.177	0.749	3.016
Nat_349_control	5.919	4.139	4.256	5.075	0.117	0.819	0.844
Nat_34_related	4.584	3.183	3.308	3.665	0.125	0.357	0.919
Nat_34_unrelated	4.632	3.183	3.326	3.799	0.143	0.473	0.833
Nat_350_control	5.783	2.055	2.177	2.833	0.122	0.656	2.95
Nat_351_control	5.939	4.255	4.522	5.137	0.267	0.615	0.802
Nat_352_control	6.305	1.895	2.537	3.281	0.642	0.744	3.024
Nat_353_control	4.808	2.997	3.262	3.543	0.265	0.281	1.265
Nat_354_control	4.3	2.123	2.246	2.807	0.123	0.561	1.493
Nat_355_control	4.651	2.541	2.771	3.082	0.23	0.311	1.569
Nat_356_control	5.435	1.728	1.92	2.521	0.192	0.601	2.914
Nat_357_control	5.317	1.859	2.028	2.803	0.169	0.775	2.514
Nat_358_control	5.264	2.539	2.797	3.124	0.258	0.327	2.14
Nat_359_control	5.536	4.976	5.071	5.5	0.095	0.429	0.036
Nat_360_control	5.507	2.667	2.836	3.408	0.169	0.572	2.099
Nat_36_related	4.475	2.648	2.746	3.241	0.098	0.495	1.234
Nat_36_unrelated	4.294	2.648	2.818	3.169	0.17	0.351	1.125
Nat_38_related	5.052	3.995	4.134	4.498	0.139	0.364	0.554
Nat_38_unrelated	4.984	3.995	4.114	4.443	0.119	0.329	0.541
Nat_39_related	2.98	1.791	1.95	2.431	0.159	0.481	0.549
Nat_39_unrelated	2.896	1.791	1.884	2.293	0.093	0.409	0.603
Nat_40_related	3.502	2.475	2.627	2.857	0.152	0.23	0.645
Nat_40_unrelated	3.641	2.475	2.717	2.957	0.242	0.24	0.684
Nat_41_related	4.668	2.225	2.368	2.977	0.143	0.609	1.691
Nat_41_unrelated	4.696	2.225	2.389	3.022	0.164	0.633	1.674
Nat_42_related	5.221	3.502	3.69	4.126	0.188	0.436	1.095
Nat_42_unrelated	5.592	3.502	3.741	4.551	0.239	0.81	1.041
Nat_43_related	4.289	2.869	3.014	3.31	0.145	0.296	0.979
Nat_43_unrelated	4.204	2.869	3.005	3.365	0.136	0.36	0.839
Nat_44_related	4.223	2.657	2.805	3.142	0.148	0.337	1.081
Nat_44_unrelated	4.016	2.657	2.787	3.166	0.13	0.379	0.85
Nat_45_related	5.704	3.766	3.889	4.589	0.123	0.7	1.115
Nat_45_unrelated	5.632	3.766	3.929	4.469	0.163	0.54	1.163
Nat_46_related	4.315	3.299	3.394	3.85	0.095	0.456	0.465
Nat_46_unrelated	4.176	3.299	3.439	3.643	0.14	0.204	0.533
Nat_47_related	4.816	3.353	3.492	4.171	0.139	0.679	0.645
Nat_47_unrelated	5.09	3.353	3.541	4.365	0.188	0.824	0.725
Nat_49_related	3.211	2.226	2.4	2.721	0.174	0.321	0.49
Nat_49_unrelated	3.336	2.226	2.403	2.815	0.177	0.412	0.521
Nat_4_related	4.382	2.138	2.273	2.623	0.135	0.35	1.759
Nat_4_unrelated	4.125	2.138	2.362	2.7	0.224	0.338	1.425
Nat_50_related	4.543	2.504	2.619	3.127	0.115	0.508	1.416
Nat_50_unrelated	4.589	2.504	2.652	3.189	0.148	0.537	1.4
Nat_51_related	4.628	2.904	3.111	3.622	0.207	0.511	1.006
Nat_51_unrelated	4.384	2.904	3.062	3.486	0.158	0.424	0.898
Nat_53_related	4.543	1.978	2.152	2.8	0.174	0.648	1.743
Nat_53_unrelated	4.48	1.978	2.051	2.841	0.073	0.79	1.639
Nat_54_related	3.83	2.068	2.16	2.646	0.092	0.486	1.184
Nat_54_unrelated	3.88	2.068	2.247	2.708	0.179	0.461	1.172
Nat_57_related	3.025	1.968	2.129	2.483	0.161	0.354	0.542
Nat_57_unrelated	2.957	1.968	2.117	2.492	0.149	0.375	0.465
Nat_58_related	5.252	3.403	3.503	3.788	0.1	0.285	1.464
Nat_58_unrelated	5.459	3.403	3.602	4.063	0.199	0.461	1.396
Nat_59_related	7.181	5.245	5.364	5.853	0.119	0.489	1.328
Nat_59_unrelated	7.184	5.245	5.351	5.974	0.106	0.623	1.21
Nat_5_related	4.282	3.03	3.109	3.46	0.079	0.351	0.822
Nat_5_unrelated	4.413	3.03	3.165	3.575	0.135	0.41	0.838
Nat_62_related	5.291	3.189	3.328	3.876	0.139	0.548	1.415
Nat_62_unrelated	5.68	3.189	3.323	4.243	0.134	0.92	1.437
Nat_63_related	3.467	1.614	1.726	2.162	0.112	0.436	1.305
Nat_63_unrelated	3.336	1.614	1.764	2.009	0.15	0.245	1.327
Nat_64_related	3.747	2.577	2.632	3.162	0.055	0.53	0.585
Nat_64_unrelated	3.597	2.577	2.761	3.003	0.184	0.242	0.594
Nat_66_related	4.114	1.821	1.961	2.477	0.14	0.516	1.637
Nat_66_unrelated	3.904	1.821	1.97	2.27	0.149	0.3	1.634
Nat_67_related	3.809	2.855	2.991	3.262	0.136	0.271	0.547
Nat_67_unrelated	3.912	2.855	3.013	3.416	0.158	0.403	0.496
Nat_68_related	4.695	2.892	3.042	3.467	0.15	0.425	1.228
Nat_68_unrelated	4.608	2.892	2.998	3.489	0.106	0.491	1.119
Nat_69_related	5.382	3.615	3.756	4.144	0.141	0.388	1.238
Nat_69_unrelated	5.346	3.615	3.696	4.048	0.081	0.352	1.298
Nat_6_related	4.823	3.175	3.309	3.824	0.134	0.515	0.999
Nat_6_unrelated	4.824	3.175	3.304	3.836	0.129	0.532	0.988
Nat_70_related	3.948	2.351	2.43	2.996	0.079	0.566	0.952
Nat_70_unrelated	3.802	2.351	2.536	2.832	0.185	0.296	0.97
Nat_74_related	3.793	2.697	2.798	3.165	0.101	0.367	0.628
Nat_74_unrelated	3.651	2.697	2.836	3.048	0.139	0.212	0.603
Nat_75_related	3.773	1.607	1.712	2.031	0.105	0.319	1.742
Nat_75_unrelated	3.849	1.607	1.723	2.04	0.116	0.317	1.809
Nat_77_related	4.241	3.077	3.263	3.712	0.186	0.449	0.529
Nat_77_unrelated	4.232	3.077	3.272	3.601	0.195	0.329	0.631
Nat_79_related	4.456	3.632	3.715	4.037	0.083	0.322	0.419
Nat_79_unrelated	4.512	3.632	3.827	4.059	0.195	0.232	0.453
Nat_7_related	6.196	5.084	5.272	5.475	0.188	0.203	0.721
Nat_7_unrelated	6.352	5.084	5.21	5.624	0.126	0.414	0.728
Nat_80_related	4.048	2.953	3.05	3.29	0.097	0.24	0.758
Nat_80_unrelated	4.137	2.953	3.079	3.379	0.126	0.3	0.758
Nat_83_related	6.647	4.195	4.362	4.75	0.167	0.388	1.897
Nat_83_unrelated	6.674	4.195	4.293	4.787	0.098	0.494	1.887
Nat_84_related	6.259	4.825	4.946	5.145	0.121	0.199	1.114
Nat_84_unrelated	6.627	4.825	5.04	5.528	0.215	0.488	1.099
Nat_85_related	4.422	2.992	3.13	3.523	0.138	0.393	0.899
Nat_85_unrelated	4.424	2.992	3.158	3.635	0.166	0.477	0.789
Nat_87_related	7.679	5.783	5.931	6.296	0.148	0.365	1.383
Nat_87_unrelated	7.736	5.783	5.916	6.3	0.133	0.384	1.436
Nat_88_related	3.539	2.583	2.688	3.024	0.105	0.336	0.515
Nat_88_unrelated	3.552	2.583	2.722	3.017	0.139	0.295	0.535
Nat_89_related	4.873	2.987	3.095	3.416	0.108	0.321	1.457
Nat_89_unrelated	4.8	2.987	3.134	3.607	0.147	0.473	1.193
Nat_8_related	4.993	2.974	3.108	3.552	0.134	0.444	1.441
Nat_8_unrelated	5.062	2.974	3.066	3.65	0.092	0.584	1.412
Nat_90_related	4.3	3.322	3.489	3.879	0.167	0.39	0.421
Nat_90_unrelated	4.302	3.322	3.502	3.899	0.18	0.397	0.403
Nat_92_related	3.748	2.549	2.686	3.024	0.137	0.338	0.724
Nat_92_unrelated	3.797	2.549	2.7	2.951	0.151	0.251	0.846
Nat_93_related	4.192	2.91	3.041	3.433	0.131	0.392	0.759
Nat_93_unrelated	4.122	2.91	3.022	3.358	0.112	0.336	0.764
Nat_94_related	7.685	4.12	4.249	4.632	0.129	0.383	3.053
Nat_94_unrelated	7.6	4.12	4.258	4.669	0.138	0.411	2.931
Nat_95_related	5.141	3.704	3.798	4.217	0.094	0.419	0.924
Nat_95_unrelated	5.205	3.704	3.825	4.249	0.121	0.424	0.956
Nat_97_related	3.543	2.887	3.045	3.192	0.158	0.147	0.351
Nat_97_unrelated	3.592	2.887	3.017	3.318	0.13	0.301	0.274
Nat_98_related	3.31	2.217	2.389	2.674	0.172	0.285	0.636
Nat_98_unrelated	3.503	2.217	2.398	2.912	0.181	0.514	0.591
Nat_9_related	4.659	2.675	2.831	3.408	0.156	0.577	1.251
Nat_9_unrelated	4.424	2.675	2.898	3.268	0.223	0.37	1.156
nonNat_100_related	7.446	5.457	5.601	6.041	0.144	0.44	1.405
nonNat_100_unrelated	7.754	5.457	5.778	6.444	0.321	0.666	1.31
nonNat_101_related	4.38	2.618	2.72	3.145	0.102	0.425	1.235
nonNat_101_unrelated	4.422	2.618	2.724	3.129	0.106	0.405	1.293
nonNat_102_related	4.676	3.647	3.786	4.016	0.139	0.23	0.66
nonNat_102_unrelated	4.693	3.647	3.787	4.054	0.14	0.267	0.639
nonNat_103_related	6.493	3.74	3.926	4.354	0.186	0.428	2.139
nonNat_103_unrelated	6.314	3.74	3.949	4.457	0.209	0.508	1.857
nonNat_104_related	3.915	2.047	2.227	2.625	0.18	0.398	1.29
nonNat_104_unrelated	3.866	2.047	2.224	2.586	0.177	0.362	1.28
nonNat_105_related	5.495	3.416	3.633	4.141	0.217	0.508	1.354
nonNat_105_unrelated	5.362	3.416	3.573	4.002	0.157	0.429	1.36
nonNat_106_related	6.599	4.737	4.926	5.388	0.189	0.462	1.211
nonNat_106_unrelated	6.487	4.737	4.896	5.352	0.159	0.456	1.135
nonNat_107_related	6.28	3.679	3.788	4.29	0.109	0.502	1.99
nonNat_107_unrelated	6.528	3.679	3.861	4.251	0.182	0.39	2.277
nonNat_108_related	6.174	3.79	4.004	4.262	0.214	0.258	1.912
nonNat_108_unrelated	6.264	3.79	3.895	4.362	0.105	0.467	1.902
nonNat_109_related	9.102	5.22	5.415	5.956	0.195	0.541	3.146
nonNat_109_unrelated	9.025	5.22	5.362	6.154	0.142	0.792	2.871
nonNat_10_related	3.823	1.785	1.991	2.288	0.206	0.297	1.535
nonNat_10_unrelated	3.711	1.785	1.925	2.377	0.14	0.452	1.334
nonNat_110_related	5.687	4.202	4.367	4.725	0.165	0.358	0.962
nonNat_110_unrelated	5.591	4.202	4.401	4.724	0.199	0.323	0.867
nonNat_111_related	5.472	3.285	3.595	4.142	0.31	0.547	1.33
nonNat_111_unrelated	5.26	3.285	3.508	3.895	0.223	0.387	1.365
nonNat_113_related	8.187	4.893	5.077	5.431	0.184	0.354	2.756
nonNat_113_unrelated	8.484	4.893	5.015	5.615	0.122	0.6	2.869
nonNat_114_related	7.206	5.896	6.069	6.533	0.173	0.464	0.673
nonNat_114_unrelated	7.356	5.896	6.004	6.589	0.108	0.585	0.767
nonNat_116_related	5.532	4.202	4.315	4.963	0.113	0.648	0.569
nonNat_116_unrelated	5.318	4.202	4.356	4.759	0.154	0.403	0.559
nonNat_117_related	4.663	3.232	3.416	3.899	0.184	0.483	0.764
nonNat_117_unrelated	4.532	3.232	3.456	3.789	0.224	0.333	0.743
nonNat_118_related	4.4	2.337	2.497	3.178	0.16	0.681	1.222
nonNat_118_unrelated	4.33	2.337	2.496	3.072	0.159	0.576	1.258
nonNat_11_related	6.148	4.754	4.932	5.193	0.178	0.261	0.955
nonNat_11_unrelated	6.819	4.754	5.042	5.754	0.288	0.712	1.065
nonNat_120_related	9.515	5.356	5.464	6.184	0.108	0.72	3.331
nonNat_120_unrelated	9.366	5.356	5.511	5.942	0.155	0.431	3.424
nonNat_121_related	5.264	2.952	3.084	3.414	0.132	0.33	1.85
nonNat_121_unrelated	5.129	2.952	3.151	3.56	0.199	0.409	1.569
nonNat_122_related	5.535	3.858	4.091	4.35	0.233	0.259	1.185
nonNat_122_unrelated	5.832	3.858	4.055	4.607	0.197	0.552	1.225
nonNat_123_related	5.851	3.53	3.712	4.348	0.182	0.636	1.503
nonNat_123_unrelated	6.022	3.53	3.634	4.395	0.104	0.761	1.627
nonNat_124_related	5.822	3.858	4.006	4.613	0.148	0.607	1.209
nonNat_124_unrelated	5.62	3.858	4.089	4.502	0.231	0.413	1.118
nonNat_125_related	6.767	5.013	5.217	5.518	0.204	0.301	1.249
nonNat_125_unrelated	6.643	5.013	5.218	5.625	0.205	0.407	1.018
nonNat_126_related	6.561	4.153	4.24	4.894	0.087	0.654	1.667
nonNat_126_unrelated	6.413	4.153	4.39	4.879	0.237	0.489	1.534
nonNat_129_related	9.148	6.455	6.625	7.082	0.17	0.457	2.066
nonNat_129_unrelated	9.389	6.455	6.59	7.252	0.135	0.662	2.137
nonNat_12_related	4.837	2.227	2.354	2.616	0.127	0.262	2.221
nonNat_12_unrelated	4.934	2.227	2.366	2.635	0.139	0.269	2.299
nonNat_131_related	4.857	3.113	3.268	3.734	0.155	0.466	1.123
nonNat_131_unrelated	4.856	3.113	3.259	3.721	0.146	0.462	1.135
nonNat_132_related	6.055	2.754	2.892	3.409	0.138	0.517	2.646
nonNat_132_unrelated	6.274	2.754	2.954	3.627	0.2	0.673	2.647
nonNat_133_related	5.792	2.846	2.951	3.637	0.105	0.686	2.155
